GeneID,GeneName,p-value,log2FC
ENSG00000101557,USP14,0.081210585,-0.5
ENSG00000101558,VAPA,0.218352459,-0.3
ENSG00000101574,METTL4,2.9e-05,-1.1
ENSG00000101577,LPIN2,0.677402827,-0.1
ENSG00000101596,SMCHD1,0.051764594,-0.4
ENSG00000101605,MYOM1,0.001195377,3.9
ENSG00000101608,MYL12A,2.44e-10,1.9
ENSG00000101624,CEP76,0.249760749,-0.4
ENSG00000101638,ST8SIA5,4.22e-30,6.7
ENSG00000101639,CEP192,0.002855637,-0.8
ENSG00000101654,RNMT,0.147958664,-0.5
ENSG00000101665,SMAD7,0.570651731,0.3
ENSG00000101670,LIPG,4.83e-05,2.5
ENSG00000101680,LAMA1,3.51e-21,5.8
ENSG00000101695,RNF125,0.113939023,1.3
ENSG00000101745,ANKRD12,0.457262244,0.3
ENSG00000101746,NOL4,1,0.9
ENSG00000101751,POLI,0.797760801,-0.1
ENSG00000101752,MIB1,0.003660697,-0.6
ENSG00000101773,RBBP8,0.003806694,-0.8
ENSG00000101782,RIOK3,0.508001804,0.2
ENSG00000101811,CSTF2,0.073640649,-0.5
ENSG00000101812,H2BW2,1,0
ENSG00000101825,MXRA5,6.18e-23,4.7
ENSG00000101842,VSIG1,0.028422395,2.9
ENSG00000101843,PSMD10,0.768494292,-0.1
ENSG00000101844,ATG4A,0.409910925,0.4
ENSG00000101846,STS,0.001524124,1.2
ENSG00000101849,TBL1X,0.324990921,-0.4
ENSG00000101850,GPR143,0.117224062,2.2
ENSG00000101856,PGRMC1,0.040582998,-0.5
ENSG00000101868,POLA1,2.91e-07,-1.4
ENSG00000101871,MID1,0.398330099,0.3
ENSG00000101882,NKAP,0.945505689,0
ENSG00000101883,RHOXF1,1,0
ENSG00000101883,RHOXF1,1,0
ENSG00000101888,NXT2,0.002067528,-0.7
ENSG00000101890,GUCY2F,1,0.6
ENSG00000101892,ATP1B4,1,0.6
ENSG00000101898,MCTS2P,1,0
ENSG00000101901,ALG13,0.402097205,-0.2
ENSG00000101911,PRPS2,3.9e-16,-1.7
ENSG00000101916,TLR8,1,0.8
ENSG00000101928,MOSPD1,0.066203765,0.6
ENSG00000101935,AMMECR1,7.34e-05,-1.1
ENSG00000101938,CHRDL1,4e-05,3.6
ENSG00000101940,WDR13,0.287076949,0.3
ENSG00000101945,SUV39H1,0.178748439,-0.6
ENSG00000101951,PAGE4,1,0
ENSG00000101955,SRPX,0.120852042,0.6
ENSG00000101958,GLRA2,1,-0.1
ENSG00000101966,XIAP,0.162181633,0.4
ENSG00000101972,STAG2,0.149674858,-0.3
ENSG00000101974,ATP11C,3.06e-16,-1.8
ENSG00000101977,MCF2,0.20390517,1.8
ENSG00000101981,F9,1,0
ENSG00000101986,ABCD1,3.74e-09,2.3
ENSG00000101997,CCDC22,0.867400506,-0.1
ENSG00000102001,CACNA1F,1,0.2
ENSG00000102003,SYP,0.275029704,0.9
ENSG00000102007,PLP2,6.27e-05,-0.8
ENSG00000102010,BMX,1,0
ENSG00000102021,LUZP4,1,0.6
ENSG00000102024,PLS3,0.065351281,-0.4
ENSG00000102030,NAA10,0.996395036,0
ENSG00000102032,RENBP,2.55e-07,5.3
ENSG00000102034,ELF4,0.897879914,0
ENSG00000102038,SMARCA1,0.815752684,-0.1
ENSG00000102043,MTMR8,1,0.4
ENSG00000102048,ASB9,0.33387973,1.2
ENSG00000102053,ZC3H12B,0.143993679,1
ENSG00000102054,RBBP7,0.000127716,-0.9
ENSG00000102055,PPP1R2C,1,0
ENSG00000102057,KCND1,0.073499199,1.1
ENSG00000102076,OPN1LW,1,0
ENSG00000102078,SLC25A14,0.166666916,-0.4
ENSG00000102081,FMR1,0.821781535,-0.1
ENSG00000102096,PIM2,0.690517715,0.3
ENSG00000102098,SCML2,0.001434437,-1.1
ENSG00000102100,SLC35A2,0.675957965,-0.2
ENSG00000102103,PQBP1,0.613802781,-0.2
ENSG00000102104,RS1,1,0
ENSG00000102109,PCSK1N,0.062665257,2.5
ENSG00000102119,EMD,0.041923297,-0.6
ENSG00000102125,TAZ,0.776577233,-0.1
ENSG00000102128,RAB40AL,1,0.4
ENSG00000102144,PGK1,0.000476025,-1.4
ENSG00000102145,GATA1,1,0
ENSG00000102158,MAGT1,0.003973878,-0.7
ENSG00000102172,SMS,0.011540772,-0.6
ENSG00000102174,PHEX,0.133439647,-0.8
ENSG00000102178,UBL4A,0.096650462,-0.5
ENSG00000102181,CD99L2,0.092384263,-0.5
ENSG00000102189,EEA1,0.748376676,0.1
ENSG00000102195,GPR50,1,0.6
ENSG00000102218,RP2,0.312405291,0.3
ENSG00000102221,JADE3,1.81e-10,-1.4
ENSG00000102225,CDK16,0.847938585,0.1
ENSG00000102226,USP11,0.419264692,0.2
ENSG00000102230,PCYT1B,1.3e-06,3.5
ENSG00000102239,BRS3,1,0
ENSG00000102241,HTATSF1,0.010340889,-0.6
ENSG00000102243,VGLL1,1,0
ENSG00000102245,CD40LG,1,0
ENSG00000102265,TIMP1,0.110361613,0.4
ENSG00000102271,KLHL4,0.002218713,3.7
ENSG00000102287,GABRE,0.016371745,-0.8
ENSG00000102290,PCDH11X,1,0.2
ENSG00000102302,FGD1,0.642113046,-0.2
ENSG00000102309,PIN4,0.576455697,-0.2
ENSG00000102312,PORCN,0.010145921,0.7
ENSG00000102313,ITIH6,1,0.4
ENSG00000102316,MAGED2,0.665868982,-0.2
ENSG00000102317,RBM3,0.027515532,-0.4
ENSG00000102349,KLF8,3.58e-06,4.5
ENSG00000102359,SRPX2,0.404992694,0.3
ENSG00000102362,SYTL4,0.567290419,0.3
ENSG00000102383,ZDHHC15,2.28e-08,-2.2
ENSG00000102384,CENPI,0.000850425,-1
ENSG00000102385,DRP2,2.95e-06,2.7
ENSG00000102387,TAF7L,0.199392028,1.5
ENSG00000102390,PBDC1,0.451983577,-0.2
ENSG00000102393,GLA,0.277203025,-0.3
ENSG00000102401,ARMCX3,0.381220578,0.3
ENSG00000102409,BEX4,0.000311547,1.6
ENSG00000102445,RUBCNL,7.69e-14,4.8
ENSG00000102452,NALCN,0.287076949,0.6
ENSG00000102466,FGF14,0.562963209,0.4
ENSG00000102468,HTR2A,8.22e-14,5.2
ENSG00000102471,NDFIP2,1.97e-05,0.9
ENSG00000102524,TNFSF13B,2.62e-05,4
ENSG00000102531,FNDC3A,5.37e-06,0.9
ENSG00000102539,MLNR,0.115858674,2.2
ENSG00000102543,CDADC1,0.084257178,0.7
ENSG00000102547,CAB39L,3.67e-11,1.7
ENSG00000102554,KLF5,0.017913375,1
ENSG00000102572,STK24,0.078209557,0.4
ENSG00000102575,ACP5,0.483334289,-0.7
ENSG00000102580,DNAJC3,2e-07,1.1
ENSG00000102595,UGGT2,0.91753149,0
ENSG00000102606,ARHGEF7,0.042996888,0.4
ENSG00000102678,FGF9,0.056407198,2.6
ENSG00000102683,SGCG,7.78e-11,5.7
ENSG00000102699,PARP4,0.061142486,0.5
ENSG00000102710,SUPT20H,0.20040328,0.3
ENSG00000102738,MRPS31,0.330567347,0.3
ENSG00000102743,SLC25A15,0.124627254,-0.5
ENSG00000102753,KPNA3,0.323869016,0.3
ENSG00000102755,FLT1,1,2.4
ENSG00000102760,RGCC,0.172942838,-0.6
ENSG00000102763,VWA8,0.313273007,-0.3
ENSG00000102780,DGKH,0.591017772,-0.2
ENSG00000102781,KATNAL1,0.065602143,0.5
ENSG00000102786,INTS6,0.002343684,0.7
ENSG00000102794,ACOD1,0.016210241,3.1
ENSG00000102796,DHRS12,0.002843707,3
ENSG00000102802,MEDAG,8.75e-06,4.1
ENSG00000102804,TSC22D1,0.454930317,0.3
ENSG00000102805,CLN5,9.33e-05,1.2
ENSG00000102837,OLFM4,1,0.2
ENSG00000102854,MSLN,1,0.3
ENSG00000102858,MGRN1,0.256378744,0.4
ENSG00000102870,ZNF629,0.058715629,0.4
ENSG00000102871,TRADD,9.87e-05,1.4
ENSG00000102878,HSF4,0.924174872,0.1
ENSG00000102879,CORO1A,0.313731707,-0.9
ENSG00000102882,MAPK3,0.533420141,0.3
ENSG00000102886,GDPD3,0.754826058,0.3
ENSG00000102890,ELMO3,0.906239658,0.1
ENSG00000102891,MT4,1,0
ENSG00000102893,PHKB,0.044490398,-0.7
ENSG00000102897,LYRM1,0.370306201,-0.3
ENSG00000102898,NUTF2,0.733096693,-0.1
ENSG00000102900,NUP93,0.003031304,-0.7
ENSG00000102901,CENPT,0.969477051,0
ENSG00000102904,TSNAXIP1,0.910954279,-0.1
ENSG00000102908,NFAT5,0.005393105,0.9
ENSG00000102910,LONP2,0.628687512,-0.1
ENSG00000102921,N4BP1,0.049692106,0.5
ENSG00000102924,CBLN1,1,0
ENSG00000102931,ARL2BP,0.576455697,0.6
ENSG00000102934,PLLP,0.553481853,0.4
ENSG00000102935,ZNF423,0.043906879,2.7
ENSG00000102962,CCL22,1,0
ENSG00000102967,DHODH,0.713444913,-0.2
ENSG00000102970,CCL17,1,0
ENSG00000102974,CTCF,0.008893777,-0.6
ENSG00000102977,ACD,0.41574897,0.2
ENSG00000102978,POLR2C,0.79954708,-0.1
ENSG00000102981,PARD6A,0.142547443,1.5
ENSG00000102984,ZNF821,0.764520596,0.2
ENSG00000102996,MMP15,0.360752607,0.6
ENSG00000103005,USB1,0.541159636,0.3
ENSG00000103018,CYB5B,0.216443089,-0.3
ENSG00000103021,CCDC113,2.53e-16,4.6
ENSG00000103023,PRSS54,1,0
ENSG00000103024,NME3,8.37e-05,2.8
ENSG00000103034,NDRG4,0.00031927,2.3
ENSG00000103035,PSMD7,0.933912688,0
ENSG00000103037,SETD6,1.8e-13,3.7
ENSG00000103042,SLC38A7,0.00670245,0.9
ENSG00000103043,VAC14,0.843850402,-0.1
ENSG00000103044,HAS3,0.000362781,-1.9
ENSG00000103047,TANGO6,0.000648511,-0.8
ENSG00000103051,COG4,0.261752107,-0.3
ENSG00000103056,SMPD3,0.549408301,0.8
ENSG00000103061,SLC7A6OS,0.886208755,0.1
ENSG00000103064,SLC7A6,0.003210555,-1.3
ENSG00000103066,PLA2G15,0.246829681,0.4
ENSG00000103067,ESRP2,0.355153007,1.1
ENSG00000103089,FA2H,1,0.2
ENSG00000103091,WDR59,0.264276771,-0.4
ENSG00000103111,MON1B,0.007851252,0.8
ENSG00000103121,CMC2,0.604388312,-0.2
ENSG00000103126,AXIN1,0.214649063,-0.4
ENSG00000103145,HCFC1R1,0.037361301,-0.8
ENSG00000103148,NPRL3,0.02623586,-0.6
ENSG00000103150,MLYCD,0.000726069,1.6
ENSG00000103152,MPG,0.017340192,1.1
ENSG00000103154,NECAB2,0.159788873,1.5
ENSG00000103160,HSDL1,0.676846003,0.2
ENSG00000103168,TAF1C,0.477621633,0.3
ENSG00000103174,NAGPA,0.453205536,-0.3
ENSG00000103175,WFDC1,0.00417633,3.6
ENSG00000103184,SEC14L5,0.098858238,2.3
ENSG00000103187,COTL1,0.022342443,-0.8
ENSG00000103194,USP10,0.78931672,-0.1
ENSG00000103196,CRISPLD2,0.448806801,0.4
ENSG00000103197,TSC2,0.699562128,0.1
ENSG00000103199,ZNF500,0.929194889,0
ENSG00000103202,NME4,0.158405292,0.4
ENSG00000103222,ABCC1,0.434117752,0.2
ENSG00000103226,NOMO3,0.109885891,-0.5
ENSG00000103227,LMF1,0.856862713,-0.1
ENSG00000103241,FOXF1,1.81e-10,5.6
ENSG00000103245,CIAO3,0.526738847,0.3
ENSG00000103248,MTHFSD,0.331926285,0.3
ENSG00000103249,CLCN7,0.324750052,0.4
ENSG00000103253,HAGHL,0.019662107,1.7
ENSG00000103254,ANTKMT,0.239673943,1
ENSG00000103257,SLC7A5,0.276026204,-0.7
ENSG00000103260,METRN,0.841534958,0.1
ENSG00000103264,FBXO31,0.317598465,0.3
ENSG00000103266,STUB1,0.1905996,0.5
ENSG00000103269,RHBDL1,0.780305809,-0.4
ENSG00000103274,NUBP1,0.686864741,-0.2
ENSG00000103275,UBE2I,0.640675867,-0.1
ENSG00000103310,ZP2,1,0.5
ENSG00000103313,MEFV,0.119464083,2.2
ENSG00000103316,CRYM,4.2e-10,3
ENSG00000103319,EEF2K,5.11e-05,-1
ENSG00000103326,CAPN15,0.276983672,0.6
ENSG00000103335,PIEZO1,0.157407994,0.7
ENSG00000103342,GSPT1,0.000403818,-0.8
ENSG00000103343,ZNF174,0.944064306,0
ENSG00000103351,CLUAP1,0.017618399,-0.6
ENSG00000103353,UBFD1,0.181311494,-0.4
ENSG00000103355,PRSS33,1,0.2
ENSG00000103356,EARS2,1.36e-07,-1.2
ENSG00000103363,ELOB,0.107177101,0.7
ENSG00000103365,GGA2,0.271711448,-0.3
ENSG00000103375,AQP8,1,0.6
ENSG00000103381,CPPED1,0.443549039,0.2
ENSG00000103404,USP31,0.025298804,-0.5
ENSG00000103415,HMOX2,0.000996697,-0.7
ENSG00000103423,DNAJA3,0.160109098,-0.4
ENSG00000103426,CORO7-PAM16,1,0
ENSG00000103429,BFAR,0.000192828,-0.7
ENSG00000103449,SALL1,3.44e-26,2.7
ENSG00000103460,TOX3,1,0
ENSG00000103472,RRN3P2,1,0.9
ENSG00000103479,RBL2,0.640987423,-0.3
ENSG00000103485,QPRT,0.001695842,1.8
ENSG00000103489,XYLT1,0.255616558,-0.5
ENSG00000103490,PYCARD,1.75e-10,6.1
ENSG00000103494,RPGRIP1L,0.315487448,-0.3
ENSG00000103495,MAZ,0.001481284,-1
ENSG00000103496,STX4,0.965500217,0
ENSG00000103502,CDIPT,0.712650562,-0.1
ENSG00000103507,BCKDK,0.002936419,-0.9
ENSG00000103510,KAT8,0.037268036,-0.5
ENSG00000103512,NOMO1,0.048910541,-0.5
ENSG00000103522,IL21R,0.001545881,1.8
ENSG00000103528,SYT17,0.098858238,2.3
ENSG00000103534,TMC5,0.861088835,0.3
ENSG00000103540,CCP110,0.013080619,-0.7
ENSG00000103544,VPS35L,0.239817569,-0.3
ENSG00000103546,SLC6A2,1,0
ENSG00000103549,RNF40,0.64476331,-0.2
ENSG00000103550,KNOP1,7.82e-07,-1.1
ENSG00000103569,AQP9,8.18e-11,6.3
ENSG00000103591,AAGAB,0.381958204,-0.2
ENSG00000103599,IQCH,0.650728208,-0.3
ENSG00000103642,LACTB,0.453830784,-0.2
ENSG00000103647,CORO2B,2.75e-15,3.6
ENSG00000103653,CSK,0.466736423,0.3
ENSG00000103657,HERC1,0.327228893,0.3
ENSG00000103671,TRIP4,0.013219344,0.6
ENSG00000103707,MTFMT,0.669057273,-0.2
ENSG00000103710,RASL12,0.268000293,1.6
ENSG00000103723,AP3B2,1.69e-09,4.7
ENSG00000103740,ACSBG1,0.489287161,1
ENSG00000103742,IGDCC4,0.000954079,1.9
ENSG00000103769,RAB11A,0.092626264,-0.4
ENSG00000103811,CTSH,0.02622867,1.4
ENSG00000103852,TTC23,0.978754596,0
ENSG00000103855,CD276,0.272697282,0.3
ENSG00000103876,FAH,0.20529239,-0.4
ENSG00000103888,CEMIP,0.464660697,0.8
ENSG00000103932,RPAP1,0.091373502,0.4
ENSG00000103942,HOMER2,0.34027946,0.4
ENSG00000103966,EHD4,0.002678499,0.6
ENSG00000103978,TMEM87A,0.909353529,0
ENSG00000103994,ZNF106,0.748878103,-0.1
ENSG00000103995,CEP152,0.800423294,-0.1
ENSG00000104043,ATP8B4,1.84e-06,3.9
ENSG00000104044,OCA2,0.924602399,-0.2
ENSG00000104047,DTWD1,0.082746552,0.6
ENSG00000104055,TGM5,1,0.2
ENSG00000104059,FAM189A1,0.102508737,1.5
ENSG00000104064,GABPB1,0.392492214,-0.3
ENSG00000104067,TJP1,8.86e-09,1.1
ENSG00000104081,BMF,0.474163968,0.5
ENSG00000104093,DMXL2,0.275765844,0.4
ENSG00000104112,SCG3,0.000506039,4
ENSG00000104129,DNAJC17,0.529265613,0.2
ENSG00000104131,EIF3J,0.72507199,-0.1
ENSG00000104133,SPG11,1.45e-05,1.4
ENSG00000104140,RHOV,1,1.6
ENSG00000104142,VPS18,2.69e-10,1.6
ENSG00000104147,OIP5,0.919057109,-0.1
ENSG00000104154,SLC30A4,0.000453155,1.1
ENSG00000104164,BLOC1S6,0.069093701,0.4
ENSG00000104177,MYEF2,4.09e-27,7.8
ENSG00000104205,SGK3,0.00267833,1
ENSG00000104213,PDGFRL,7.51e-08,5.5
ENSG00000104218,CSPP1,0.000100393,-1.1
ENSG00000104219,ZDHHC2,1.15e-07,-1.3
ENSG00000104221,BRF2,0.380774519,0.3
ENSG00000104228,TRIM35,0.183454634,0.4
ENSG00000104231,ZFAND1,2.33e-05,-0.9
ENSG00000104237,RP1,0.001489141,3.5
ENSG00000104267,CA2,1,1.2
ENSG00000104290,FZD3,0.03290481,1.6
ENSG00000104299,INTS9,0.000170051,-0.9
ENSG00000104312,RIPK2,0.179351858,-0.5
ENSG00000104313,EYA1,0.039617488,2.7
ENSG00000104320,NBN,2.69e-10,-1.7
ENSG00000104321,TRPA1,0.026207111,2
ENSG00000104324,CPQ,1.12e-06,-1.5
ENSG00000104325,DECR1,6.91e-11,-1.4
ENSG00000104327,CALB1,1,0.8
ENSG00000104331,IMPAD1,0.006612075,-0.7
ENSG00000104332,SFRP1,3.67e-51,11.3
ENSG00000104341,LAPTM4B,2.1e-33,-2.4
ENSG00000104343,UBE2W,0.473619244,-0.2
ENSG00000104356,POP1,5.64e-12,-2.4
ENSG00000104361,NIPAL2,0.000115012,-0.7
ENSG00000104365,IKBKB,0.960634409,0
ENSG00000104368,PLAT,0.464956887,-0.8
ENSG00000104369,JPH1,1.03e-11,6.4
ENSG00000104371,DKK4,1,0
ENSG00000104375,STK3,1.01e-06,-1.3
ENSG00000104381,GDAP1,0.436794052,0.3
ENSG00000104388,RAB2A,0.014916368,-0.5
ENSG00000104408,EIF3E,1.05e-17,-2.1
ENSG00000104412,EMC2,1.94e-11,-1.5
ENSG00000104413,ESRP1,0.228989166,1.6
ENSG00000104415,CCN4,2.82e-40,-6.1
ENSG00000104419,NDRG1,1,-1.8
ENSG00000104427,ZC2HC1A,0.077380409,-0.7
ENSG00000104432,IL7,0.137299619,1.6
ENSG00000104435,STMN2,2.04e-11,4.5
ENSG00000104442,ARMC1,0.000238195,-0.9
ENSG00000104447,TRPS1,0.918001458,0.1
ENSG00000104450,SPAG1,0.867629039,-0.1
ENSG00000104472,CHRAC1,2.14e-10,-1.5
ENSG00000104490,NCALD,0.960634409,0
ENSG00000104497,SNX16,0.285539157,-0.3
ENSG00000104499,GML,1,0
ENSG00000104517,UBR5,6.8e-09,-1.1
ENSG00000104518,GSDMD,4.52e-05,2.5
ENSG00000104522,TSTA3,0.002249135,-1
ENSG00000104524,PYCR3,0.056146529,-0.9
ENSG00000104529,EEF1D,0.000155238,-1
ENSG00000104537,ANXA13,1,1.2
ENSG00000104549,SQLE,2.85e-05,-1
ENSG00000104611,SH2D4A,0.389885372,-0.4
ENSG00000104613,INTS10,0.0264064,-0.5
ENSG00000104626,ERI1,0.001450876,-0.7
ENSG00000104635,SLC39A14,0.012523141,-0.8
ENSG00000104643,MTMR9,0.630696355,-0.2
ENSG00000104660,LEPROTL1,0.034033383,-0.5
ENSG00000104671,DCTN6,0.915313827,0
ENSG00000104679,R3HCC1,0.028249177,-0.6
ENSG00000104687,GSR,0.012907064,0.7
ENSG00000104689,TNFRSF10A,1.16e-15,3.6
ENSG00000104691,UBXN8,0.091206546,-0.5
ENSG00000104695,PPP2CB,0.564399312,0.2
ENSG00000104714,ERICH1,0.152189379,-0.5
ENSG00000104722,NEFM,3.16e-17,5.9
ENSG00000104723,TUSC3,3.11e-10,-1.8
ENSG00000104728,ARHGEF10,0.778338957,-0.2
ENSG00000104731,KLHDC4,0.828556182,0.1
ENSG00000104738,MCM4,0.04190402,-0.6
ENSG00000104755,ADAM2,1,0
ENSG00000104756,KCTD9,0.14477669,-0.4
ENSG00000104760,FGL1,1,1.2
ENSG00000104763,ASAH1,0.005697413,0.6
ENSG00000104765,BNIP3L,0.516342492,-0.4
ENSG00000104774,MAN2B1,0.744082615,-0.1
ENSG00000104783,KCNN4,0.51144636,-0.6
ENSG00000104804,TULP2,0.183999786,1.9
ENSG00000104805,NUCB1,0.075266378,-0.6
ENSG00000104808,DHDH,1,1.2
ENSG00000104812,GYS1,1.56e-05,-1.6
ENSG00000104814,MAP4K1,0.163815656,1.8
ENSG00000104818,CGB2,1,0
ENSG00000104823,ECH1,0.440803159,-0.3
ENSG00000104824,HNRNPL,0.000702151,-0.9
ENSG00000104825,NFKBIB,0.817612,-0.1
ENSG00000104826,LHB,1,0.1
ENSG00000104827,CGB3,1,-0.5
ENSG00000104833,TUBB4A,0.39341526,1.2
ENSG00000104835,SARS2,0.841498101,-0.2
ENSG00000104848,KCNA7,0.643393698,-0.7
ENSG00000104852,SNRNP70,0.011288591,-0.7
ENSG00000104853,CLPTM1,3.86e-06,-0.9
ENSG00000104856,RELB,0.02348078,1.2
ENSG00000104859,CLASRP,0.000348468,-1
ENSG00000104863,LIN7B,0.450008105,0.6
ENSG00000104866,PPP1R37,0.033510686,-0.8
ENSG00000104870,FCGRT,3.38e-28,6.8
ENSG00000104872,PIH1D1,0.003949383,-0.7
ENSG00000104879,CKM,1,0.6
ENSG00000104880,ARHGEF18,0.904816062,0.1
ENSG00000104881,PPP1R13L,5.39e-07,-2.7
ENSG00000104883,PEX11G,0.032459666,2.6
ENSG00000104884,ERCC2,1.39e-22,-2.4
ENSG00000104885,DOT1L,0.226173559,-0.5
ENSG00000104886,PLEKHJ1,0.059419524,-0.7
ENSG00000104888,SLC17A7,0.598589731,0.6
ENSG00000104889,RNASEH2A,0.432287201,-0.9
ENSG00000104892,KLC3,0.33183376,-1.3
ENSG00000104894,CD37,0.187311535,-1.2
ENSG00000104897,SF3A2,0.104368396,-0.5
ENSG00000104899,AMH,0.768494292,-0.3
ENSG00000104901,DKKL1,1,-0.6
ENSG00000104903,LYL1,0.861867945,0.3
ENSG00000104904,OAZ1,0.364471669,-0.3
ENSG00000104907,TRMT1,0.050957109,-0.9
ENSG00000104915,STX10,0.007480739,-0.7
ENSG00000104918,RETN,1,0
ENSG00000104921,FCER2,1,0.2
ENSG00000104936,DMPK,0.249848042,-0.5
ENSG00000104938,CLEC4M,1,0.4
ENSG00000104941,RSPH6A,1,1
ENSG00000104946,TBC1D17,0.970523814,0
ENSG00000104951,IL4I1,0.002745919,2.4
ENSG00000104953,TLE6,0.944273357,0.1
ENSG00000104957,CCDC130,0.127297366,0.5
ENSG00000104960,PTOV1,0.482803626,-0.3
ENSG00000104964,TLE5,0.466560648,0.2
ENSG00000104967,NOVA2,1,-0.1
ENSG00000104969,SGTA,0.864311242,-0.1
ENSG00000104972,LILRB1,1,-0.3
ENSG00000104973,MED25,0.003187083,-0.8
ENSG00000104974,LILRA1,1,0
ENSG00000104976,SNAPC2,0.046013456,0.7
ENSG00000104979,C19orf53,0.002123878,-0.7
ENSG00000104980,TIMM44,0.049806946,-0.8
ENSG00000104983,CCDC61,1.91e-06,-2.1
ENSG00000104998,IL27RA,0.026452188,1.1
ENSG00000105011,ASF1B,0.015409146,-1
ENSG00000105048,TNNT1,2.73e-06,-3.3
ENSG00000105053,VRK3,0.02727224,-0.6
ENSG00000105058,FAM32A,0.147991365,-0.4
ENSG00000105063,PPP6R1,0.509645356,-0.2
ENSG00000105072,C19orf44,0.527730591,-0.3
ENSG00000105085,MED26,0.464094497,-0.3
ENSG00000105088,OLFM2,0.004078896,2.5
ENSG00000105122,RASAL3,1,0.7
ENSG00000105127,AKAP8,0.676428128,-0.2
ENSG00000105131,EPHX3,1,0.2
ENSG00000105135,ILVBL,0.174303616,-0.4
ENSG00000105136,ZNF419,0.263104595,0.5
ENSG00000105137,SYDE1,0.283288201,-0.3
ENSG00000105141,CASP14,1,0
ENSG00000105143,SLC1A6,1,0
ENSG00000105146,AURKC,0.135298891,1.8
ENSG00000105171,POP4,0.068917888,-0.5
ENSG00000105173,CCNE1,0.862355938,0.1
ENSG00000105176,URI1,1.03e-08,-1.2
ENSG00000105185,PDCD5,0.032840377,-0.5
ENSG00000105186,ANKRD27,2.13e-11,-1.5
ENSG00000105193,RPS16,4.52e-05,-1.2
ENSG00000105197,TIMM50,0.002203757,-0.9
ENSG00000105198,LGALS13,1,0
ENSG00000105202,FBL,1.32e-21,-1.9
ENSG00000105204,DYRK1B,0.000144815,2
ENSG00000105205,CLC,1,0
ENSG00000105219,CNTD2,0.077874392,2.4
ENSG00000105220,GPI,0.221005931,-0.5
ENSG00000105221,AKT2,8.85e-05,-0.8
ENSG00000105223,PLD3,0.999461137,0
ENSG00000105227,PRX,0.243228445,0.6
ENSG00000105229,PIAS4,0.23303695,-0.4
ENSG00000105245,NUMBL,0.00082039,-1.2
ENSG00000105246,EBI3,0.023099714,2.9
ENSG00000105248,YJU2,0.344282005,-0.3
ENSG00000105251,SHD,1,0
ENSG00000105254,TBCB,2.22e-09,-1.3
ENSG00000105255,FSD1,1.19e-08,-2.2
ENSG00000105258,POLR2I,0.492038856,0.8
ENSG00000105261,OVOL3,0.35460629,1.4
ENSG00000105270,CLIP3,1.71e-06,2.1
ENSG00000105278,ZFR2,1,0.4
ENSG00000105281,SLC1A5,3.41e-15,-2.5
ENSG00000105287,PRKD2,0.143332324,-0.4
ENSG00000105289,TJP3,0.46916372,1.1
ENSG00000105290,APLP1,2.92e-15,6.5
ENSG00000105298,CACTIN,0.88767172,-0.1
ENSG00000105321,CCDC9,0.005177437,-0.9
ENSG00000105323,HNRNPUL1,1.69e-15,-1.5
ENSG00000105325,FZR1,0.65408732,-0.2
ENSG00000105327,BBC3,0.163637364,-1.2
ENSG00000105329,TGFB1,0.996395036,0
ENSG00000105339,DENND3,0.000143049,1.5
ENSG00000105341,DMAC2,0.000927234,-0.7
ENSG00000105352,CEACAM4,1,0
ENSG00000105355,PLIN3,0.375674181,-0.3
ENSG00000105357,MYH14,0.06787653,2.5
ENSG00000105364,MRPL4,0.695357058,-0.2
ENSG00000105366,SIGLEC8,1,0.2
ENSG00000105369,CD79A,1,0.1
ENSG00000105370,LIM2,1,0
ENSG00000105371,ICAM4,1,0
ENSG00000105372,RPS19,1.34e-05,-1.2
ENSG00000105373,NOP53,2.45e-10,-2.1
ENSG00000105374,NKG7,1,0
ENSG00000105376,ICAM5,0.696853403,0.2
ENSG00000105379,ETFB,0.60165874,0.3
ENSG00000105383,CD33,8.23e-08,-5.5
ENSG00000105388,CEACAM5,1,0
ENSG00000105392,CRX,1,0.4
ENSG00000105393,BABAM1,0.346516682,-0.4
ENSG00000105397,TYK2,0.214594314,-0.5
ENSG00000105398,SULT2A1,1,0
ENSG00000105401,CDC37,0.337234565,-0.4
ENSG00000105402,NAPA,0.04624188,-0.7
ENSG00000105404,RABAC1,0.551899323,-0.4
ENSG00000105409,ATP1A3,1,0.7
ENSG00000105419,MEIS3,0.902088997,0.1
ENSG00000105426,PTPRS,0.416522386,-0.3
ENSG00000105427,CNFN,1,0.2
ENSG00000105428,ZNRF4,1,0
ENSG00000105429,MEGF8,0.333329742,-0.4
ENSG00000105438,KDELR1,0.003331106,-0.9
ENSG00000105443,CYTH2,0.131543451,-0.4
ENSG00000105447,GRWD1,0.001139897,-1
ENSG00000105464,GRIN2D,0.348266031,1.2
ENSG00000105467,SYNGR4,1,-0.5
ENSG00000105472,CLEC11A,0.138396456,-0.6
ENSG00000105479,CCDC114,0.965835713,-0.1
ENSG00000105483,CARD8,0.059467087,-0.7
ENSG00000105486,LIG1,1.4e-08,-1.3
ENSG00000105492,SIGLEC6,1,0
ENSG00000105497,ZNF175,0.061617585,-0.8
ENSG00000105499,PLA2G4C,1.5e-11,3.9
ENSG00000105507,CABP5,1,0
ENSG00000105509,HAS1,0.271705686,1.6
